CONCISE NET LIST - 1  
DC_REF_CLK_P<0>          C188             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<0>          IC3              30       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<0>          R167             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<1>          C190             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<1>          IC3              28       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<1>          R171             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<2>          C192             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<2>          IC3              24       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<2>          R175             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<3>          C194             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<3>          IC3              22       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<3>          R179             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<4>          C196             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<4>          IC3              20       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<4>          R183             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<5>          C198             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<5>          IC3              18       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<5>          R187             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<6>          C175             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<6>          IC4              30       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<6>          R168             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<7>          C177             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<7>          IC4              28       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<7>          R172             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<8>          C179             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<8>          IC4              24       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<8>          R176             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<9>          C181             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<9>          IC4              22       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<9>          R180             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<10>         C183             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<10>         IC4              20       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<10>         R184             2        RSMD0402_1/16W-200,1%
DC_REF_CLK_P<11>         C185             1        CAPCERSMDCL2_0402-100NF,16V_GEA
DC_REF_CLK_P<11>         IC4              18       ADCLK948BCPZ-VCC=VDD_CLK_BUFFEA
DC_REF_CLK_P<11>         R188             2        RSMD0402_1/16W-200,1%
DFF_CLK_N<0>             C24              2        CAPCERSMDCL2_0402-100NF,16V_GEN
DFF_CLK_N<0>             C99              2        CAPCERSMDCL2_0402-100NF,16V_GEN
DFF_CLK_N<0>             C102             2        CAPCERSMDCL2_0402-100NF,16V_GEN
DFF_CLK_N<0>             R7               1        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
DFF_CLK_N<0>             R9               1        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
DFF_CLK_N<0>             R37              2        RSMD0402_1/16W-1K,1%
DFF_CLK_N<0>             R43              1        RSMD0402_1/16W-2.2K,1%
DFF_CLK_N<0>             R101             2        RSMD0402_1/16W-1K,1%
DFF_CLK_N<0>             R134             1        R-ERJ-2RKF1000X,R-ERJ-2RKF1000A
DFF_CLK_N<0>             R140             2        RSMD0402_1/16W-1K,1%
DFF_CLK_N<0>             R146             1        RSMD0402_1/16W-2.2K,1%
DFF_CLK_N<0>             R151             1        RSMD0402_1/16W-2.2K,1%
DFF_CLK_N<0>             U2               4        MAX9381ESA_SMD-MAX9381ESA
DFF_CLK_N<0>             U3               4        MAX9381ESA_SMD-MAX9381ESA
